,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y
26,95,0.0,0.0,0.0,0.02442887453551428,probeC,793224716,7.764631312064231,6.663225115674353,4.157719674961054,2.91044205175109,0.99,0.00353765639922046,0.0585065945400201,6,5
27,97,0.0,0.0,0.0,0.03386773896542596,probeC,793224716,11.717374462990353,8.334289319720087,7.0775967327691465,8.8168645709626,0.99,0.00107818593335914,0.000980801309270858,4,4
28,99,0.0,0.0,0.0,0.006140234373173859,probeC,793224716,1.6603281921262063,1.076440671484838,1.0757441791924551,1.87696304815707,0.99,0.00266681718595889,0.0,6,5
29,100,0.0,0.0,0.0,0.005370496457401131,probeC,793224716,5.366575110923305,3.8966005124087033,4.633489116247737,4.48827492083425,0.99,0.000328556026785331,0.0,6,4
30,104,0.0,0.0,0.0,0.019044595639453,probeC,793224716,3.0864849637298404,1.9578601200718901,1.528356700770494,1.8715723988912,0.99,0.00117951424028283,0.0108834382528967,7,5
31,110,0.0,0.0,0.0,0.12437695445004382,probeC,793224716,26.146207479399962,12.571220985813163,11.805818702370427,12.8031988478901,0.99,0.00028927112255034,0.000930255810376799,6,4
32,111,0.0,0.0,0.0,0.12207916512968334,probeC,793224716,18.969645749700685,12.655347787847502,8.33228074607385,8.58740599089094,0.99,0.000755834191999296,0.0103391630774194,5,4
33,112,0.0,0.0,0.0,0.0,probeC,793224716,2.6973730544404537,1.9540361745248749,1.8230811334259611,1.59044495415802,0.99,0.00689181428992035,0.497343029922503,5,5
34,114,0.0,0.0,0.0,0.0,probeC,793224716,2.7906894851750126,2.328782838132385,2.370426508357543,1.75745337103642,0.99,1.49767071017469e-05,0.0,5,4
35,121,0.0,0.0,0.0,0.0,probeC,793224716,3.8206915979998595,2.9750296355779895,2.6693612900509454,2.1206610791197,0.99,0.00143869783440579,0.194968605616623,5,5
36,127,0.0,0.0,0.0,0.017505751935011693,probeC,793224716,31.796253257271644,26.29536155405147,22.908509115405668,17.7840570591885,0.99,0.00273774175984499,0.0409827955671193,6,4
37,131,0.0,0.0,0.0,0.0,probeC,793224716,2.1304317205437004,1.9196206646017362,1.9725485242726624,1.3365758868447,0.99,1.96927571730538e-05,0.0,7,3
38,135,0.0,0.0,0.0,0.01458898174297354,probeC,793224716,3.4034086907528702,2.1031700508584756,1.8925518925518927,1.88713408450776,0.99,0.0126562738585971,0.396073319158687,3,5
39,142,0.0,0.0,0.0,0.11235949716810431,probeC,793224716,8.688992182548068,3.988375205537073,2.271483305966065,4.35289842700651,0.99,0.00628944060545697,0.0462753967380209,5,4
40,155,0.0,0.0,0.0,0.0,probeC,793224716,3.4562293119233756,2.4358533134488165,3.185129047198013,2.14100315182109,0.99,0.0101922126897474,0.365929518695383,6,5
41,160,0.0,0.0,0.0,0.0215728452637844,probeC,793224716,34.38270300725404,29.031394592940998,25.445244410761653,20.6531029929922,0.99,0.0793408154146618,0.119224247284685,6,4
42,167,0.0,0.0,0.0,0.0,probeC,793224716,22.73223466441299,22.777331650797294,21.04121931708139,16.5325110362356,0.99,0.0274220142275701,0.0212007229279784,6,4
43,174,0.0,0.0,0.0,0.01611173529907479,probeC,793224716,7.002253679836609,5.743566211617146,4.0882489158351225,4.3484231710122,0.99,0.00554021787402535,0.124999267545824,2,4
0,0,0.0,0.0,0.0,0.014925551153505334,probeD,793224716,2.6568772448764,3.4530228289549156,1.890446718032925,2.22980177245661,0.99,0.00103904583326711,0.130345744185061,1,2
