,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y,cell_type,layer
10,52,0.01452478369803043,0.0,0.0,0.012061688264672289,probeC,767871931,13.946568949857499,12.45378834044282,8.341511285574093,8.40515560501612,0.99,8.68901501720955e-05,0.00053405642282405,4,3,RS,L56
11,53,0.0,0.0,0.0,0.0,probeC,767871931,12.510570327915064,11.237050578915296,8.903745502126268,7.8060168589107,0.99,0.0389133828170454,0.0544881873747271,2,5,RS,L56
12,57,0.0,0.0,0.0,0.0,probeC,767871931,8.042845062482384,7.436522445663214,7.178197579326136,7.2385865645901,0.99,0.000131601250385401,0.0,5,5,RS,L56
13,58,0.0,0.0,0.0,0.0,probeC,767871931,13.230918600645182,11.742839731870811,9.128639188747137,7.07168938027512,0.99,0.0048232755799422,0.0543206305087498,5,5,RS,L56
14,59,0.0,0.0,0.0,0.016290537042282827,probeC,767871931,1.154123210874127,1.2004875076173067,2.101733725875041,1.93814136718979,0.99,0.0274230968497642,0.0301320729973608,4,5,RS,L56
15,60,0.017783140319738246,0.0,0.0,0.0,probeC,767871931,9.353565723950014,8.0784074751168,12.111547268563951,10.104426635427,0.99,0.0983732485176805,0.0140423212743521,6,1,RS,L56
16,61,0.0,0.0,0.0,0.018261038138233366,probeC,767871931,8.362303861693132,6.290879544992891,4.369070984625449,6.2466656633598,0.99,0.000261402674889248,0.00193380255591565,5,5,RS,L56
17,62,0.0,0.0,0.0,0.0,probeC,767871931,12.039212001628615,10.489538899045298,7.37855740922473,7.32726956783588,0.99,0.0812918253447717,0.0407588867132162,2,4,RS,L56
18,66,0.0,0.0,0.0,0.0,probeC,767871931,12.939647342541265,13.022547227300429,11.234461890742558,8.4796453012725,0.99,0.0680162745514757,0.028334597354365,5,5,FS,L56
19,67,0.0,0.0,0.0,0.03428049003719928,probeC,767871931,15.298004948479441,10.96892138939671,6.947170428524697,10.3206480780739,0.99,0.00154178724467486,0.0382550236805662,4,2,RS,L56
20,71,0.0,0.0,0.0,0.0,probeC,767871931,2.6840803031726646,2.8478569977655903,2.6169447170428524,2.83594353058263,0.99,9.18547978600449e-06,0.0140735854808179,4,3,RS,L56
21,72,0.0,0.0,0.0,0.04713444482646365,probeC,767871931,9.947070061699396,7.09526711354865,4.479473339875695,4.81998665654663,0.99,0.00654004576779313,0.0389760862973789,4,4,RS,L56
22,73,0.0,0.0,0.0,0.030997154195147238,probeC,767871931,10.935199974944409,7.186674791793623,5.448560680405627,5.39134275918344,0.99,0.000653794053346042,0.0116822711226255,4,4,RS,L56
23,74,0.0,0.0,0.0,0.0,probeC,767871931,19.192583544739893,18.072313629900467,14.403418384036637,14.2536033786594,0.99,0.010714580488667,0.0265561648553093,5,4,RS,L56
24,75,0.0,0.0,0.0,0.11745383471895036,probeC,767871931,13.099376742146639,8.448100751574245,5.127576054955839,5.87602909360844,0.99,0.00179155370646248,0.054636237964051,5,4,RS,L56
25,76,0.0,0.0,0.0,0.0,probeC,767871931,5.634376272354286,4.629291082673167,4.297513902518809,4.76522666362301,0.99,0.000329816768535117,0.0216000563589374,5,3,RS,L56
26,77,0.0,0.0,0.0,0.02160818516039833,probeC,767871931,5.823859187572427,4.288035750558603,2.8132155708210664,3.7508581917641,0.99,0.0286000381150357,0.294991874291544,4,5,RS,L56
27,79,0.0,0.0,0.0,0.012888076172533647,probeC,767871931,6.176203451407812,4.732886451350803,4.428361138370952,4.00251257100865,0.99,0.0207084141378767,0.4121461979692,5,4,RS,L56
28,81,0.0065961014004321415,0.0,0.0,0.008796353401382651,probeC,767871931,2.1798365122615806,1.8281535648994518,1.2818940137389598,1.2918929212898,0.99,0.0148382245082178,0.406909778258884,4,4,RS,L56
29,84,0.0,0.0,0.0,0.04152843307011691,probeC,767871931,6.984246296470294,7.107454803981313,3.2384690873405297,3.17779083934842,0.99,0.00126625749613782,0.0149447285881183,5,3,RS,L56
30,85,0.0,0.0,0.0,0.0,probeC,767871931,29.712800275611517,26.189315458054036,17.408815832515536,13.2990279873089,0.99,0.00260109798551525,0.0151459740068403,4,5,FS,L56
31,90,0.0,0.0,0.0,0.01175861165140506,probeC,767871931,2.1344232515894643,1.9804996953077394,1.106068040562643,2.08238965737276,0.99,0.00760542853941738,0.0348028374852172,2,3,RS,L56
32,91,0.0,0.005484923644789319,0.0,0.024709931126226013,probeC,767871931,3.562592001002224,2.5736339630306726,1.4883873078181222,1.75413168508618,0.99,0.00040023073262232,0.0122618012300695,3,3,RS,L56
33,92,0.0,0.0,0.0,0.0,probeC,767871931,9.704344013279465,9.457647775746496,7.491004252535165,6.06195134899431,0.99,0.000260631570716021,0.017454310064616,5,5,RS,L56
