,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y
15,60,0.18534924664660665,0.08502246914839277,0.09845255277753798,0.15508386310578917,probeC,767871931,9.353565723950014,8.0784074751168,12.111547268563951,10.104426635427,0.99,0.0983732485176805,0.0140423212743521,6,1
16,61,0.11995081762617558,0.07212154897321015,0.040678939370079534,0.14727266590769952,probeC,767871931,8.362303861693132,6.290879544992891,4.369070984625449,6.2466656633598,0.99,0.000261402674889248,0.00193380255591565,5,5
17,62,0.1231644446330488,0.13355329627861087,0.08385998090942297,0.16821710537823384,probeC,767871931,12.039212001628615,10.489538899045298,7.37855740922473,7.32726956783588,0.99,0.0812918253447717,0.0407588867132162,2,4
18,66,0.13439719281663454,0.13047445959462406,0.06279820917499261,0.11547517140550115,probeC,767871931,12.939647342541265,13.022547227300429,11.234461890742558,8.4796453012725,0.99,0.0680162745514757,0.028334597354365,5,5
19,67,0.20519870306408347,0.20426712305720454,0.11584634338901789,0.31067303039486516,probeC,767871931,15.298004948479441,10.96892138939671,6.947170428524697,10.3206480780739,0.99,0.00154178724467486,0.0382550236805662,4,2
20,71,0.2327470183229094,0.16286736510716263,0.10841209396535867,0.18197868119295926,probeC,767871931,2.6840803031726646,2.8478569977655903,2.6169447170428524,2.83594353058263,0.99,9.18547978600449e-06,0.0140735854808179,4,3
21,72,0.25138934417109626,0.13983388650943623,0.07662490812462745,0.24742617551715762,probeC,767871931,9.947070061699396,7.09526711354865,4.479473339875695,4.81998665654663,0.99,0.00654004576779313,0.0389760862973789,4,4
22,73,0.24367749883010098,0.22080099859602287,0.10329957827518958,0.26824329239081635,probeC,767871931,10.935199974944409,7.186674791793623,5.448560680405627,5.39134275918344,0.99,0.000653794053346042,0.0116822711226255,4,4
23,74,0.16055602662968962,0.07767091241128547,0.06903025661592684,0.14612510200105355,probeC,767871931,19.192583544739893,18.072313629900467,14.403418384036637,14.2536033786594,0.99,0.010714580488667,0.0265561648553093,5,4
24,75,0.28081309161916856,0.19052942372660497,0.06015275315843034,0.3145703206701129,probeC,767871931,13.099376742146639,8.448100751574245,5.127576054955839,5.87602909360844,0.99,0.00179155370646248,0.054636237964051,5,4
