,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y
40,104,0.10701633593432351,0.04024616254708167,0.11360002594857295,0.12213698304713287,probeC,767871931,18.55209997181246,12.23237863091611,12.301684658161596,10.5926361311614,0.99,0.00044449276346094,0.00302630753909395,4,4
41,105,0.010587730963501163,0.04776704514668573,0.01740945248969732,0.030692808378880353,probeC,767871931,3.2556609978389557,2.338005281332521,1.9381746810598626,2.04625208851325,0.99,0.00403735780671476,0.423504710266104,4,4
42,108,0.0,0.027889064971574107,0.026494453671417117,0.02199420287178746,probeC,767871931,2.9706536377587778,3.0773918342474103,1.9831534183840367,1.88901843236126,0.99,0.00599439459264509,0.30662267280543,3,3
43,110,0.02151801752904061,0.01361188733994938,0.010567116329923087,0.02199245781877739,probeC,767871931,2.300416549218579,2.226284785699777,1.369807000327118,1.43674518198296,0.99,1.81309130533939e-05,0.0182775996146449,1,2
44,112,0.0,0.0,0.010283346451068164,0.0,probeC,767871931,2.582291960286887,2.69754214909608,2.1876022244030096,1.81936050018636,0.99,0.00054069023708248,0.0113983276085043,3,4
45,114,0.18168832033715143,0.09029685917477066,0.06574911885577725,0.24840108227853971,probeC,767871931,26.739014688840868,14.539914686166973,13.047922800130847,18.2601424197359,0.99,0.000209177305261334,0.00701555489013992,4,4
46,115,0.011635188234417582,0.02811440459104573,0.014124851519261772,0.022638800534769476,probeC,767871931,1.6254815371605753,1.4726792606134471,2.657834478246647,1.68688963495204,0.97,0.0169084166264621,0.145847169179957,4,3
47,116,0.013214462948263294,0.020389890861310933,0.02810515572013834,0.02147251877126575,probeC,767871931,1.6724607723386264,2.086126345724152,1.8339057899901865,1.67289765146604,0.99,0.0316515208824909,0.215704844060317,3,4
48,117,0.030782747366836928,0.049100030716792295,0.10174931529765005,0.05449294908430282,probeC,767871931,2.9737855867706475,2.49644525695714,2.7580143931959435,1.91186864999666,0.99,0.0979901448752257,0.381912856705184,4,5
49,128,0.01226719195837822,0.05140702242552915,0.06839293794834474,0.043050035350712876,probeC,767871931,10.870995020201072,10.877513711151737,9.609093882891724,7.53765262888432,0.99,0.0107091678840821,0.0896479139956408,4,4
