,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y,cell_type,wf_duration,layer,rf_area,mod_idx_dg,run_mod_dg,run_pval_dg,pref_ori_dg,pref_tf_dg,c50_dg,lifetime_sparseness_dg
22,73,0.3190654613558556,0.1726973448970148,0.0,0.2709130082942626,probeC,767871931,10.935199974944409,7.186674791793623,5.448560680405627,5.39134275918344,0.99,0.000653794053346042,0.0116822711226255,4,4,RS,0.618090452261307,L56,800.0,4.254201763550606,0.381625441696113,1.354861196689268e-05,45.0,2.0,0.0774549019607843,0.0840899826655813
23,74,0.08850125454359839,0.0,0.0,0.0,probeC,767871931,19.192583544739893,18.072313629900467,14.403418384036637,14.2536033786594,0.99,0.010714580488667,0.0265561648553093,5,4,RS,0.755443886097152,L56,600.0,0.0944560189984076,0.3958677685950413,1.9620162225434376e-08,0.0,2.0,0.1373529411764706,0.0990654133385216
24,75,0.29236504844966255,0.16391416942391662,0.03538389706830869,0.3108703313484982,probeC,767871931,13.099376742146639,8.448100751574245,5.127576054955839,5.87602909360844,0.99,0.00179155370646248,0.054636237964051,5,4,RS,0.618090452261307,L56,300.0,4.602397290338796,-0.1864293659621802,0.1932106440230505,45.0,2.0,0.1373529411764706,0.0475914539142754
25,76,0.21672071422291345,0.11127490534576319,0.0,0.1328572935224212,probeC,767871931,5.634376272354286,4.629291082673167,4.297513902518809,4.76522666362301,0.99,0.000329816768535117,0.0216000563589374,5,3,RS,0.604355108877722,L56,600.0,0.128438044677828,-0.0675262237762238,0.629477760681956,0.0,2.0,0.1501882352941176,0.0633145021039354
26,77,0.25324623818150166,0.16154942164668426,0.09972290199994786,0.2221886078990881,probeC,767871931,5.823859187572427,4.288035750558603,2.8132155708210664,3.7508581917641,0.99,0.0286000381150357,0.294991874291544,4,5,RS,0.714237855946399,L56,700.0,3.830573407634081,0.3325227963525836,7.38429232383043e-05,45.0,2.0,0.1544666666666667,0.1789163320555653
27,79,0.17525075659803552,0.08144640077394853,0.026285788565855107,0.12514540781612452,probeC,767871931,6.176203451407812,4.732886451350803,4.428361138370952,4.00251257100865,0.99,0.0207084141378767,0.4121461979692,5,4,RS,0.68676716917923,L56,400.0,4.716465566220078,0.3185595567867036,1.3361137949220443e-09,90.0,2.0,0.2058078431372549,0.8920726443697309
28,81,0.3000656235478015,0.2756804798446958,0.1228631959712206,0.2677568198420418,probeC,767871931,2.1798365122615806,1.8281535648994518,1.2818940137389598,1.2918929212898,0.99,0.0148382245082178,0.406909778258884,4,4,RS,0.618090452261307,L56,200.0,2.9995801381708365,0.4880952380952381,4.099527323701924e-08,0.0,2.0,1.048658823529412,0.0861439846586823
29,84,0.44636732190791023,0.2999964430365756,0.09847221767320502,0.37600527311081894,probeC,767871931,6.984246296470294,7.107454803981313,3.2384690873405297,3.17779083934842,0.99,0.00126625749613782,0.0149447285881183,5,3,RS,0.645561139028476,L56,400.0,6.898783337949403,0.2889518413597733,0.0210336983909531,135.0,2.0,0.0560627450980392,0.0648510312309859
30,85,0.17579161308795818,0.05943811607074978,0.12462219052177688,0.1771531603429373,probeC,767871931,29.712800275611517,26.189315458054036,17.408815832515536,13.2990279873089,0.99,0.00260109798551525,0.0151459740068403,4,5,FS,0.260971524288107,L56,500.0,0.944470330654226,0.5770020533880903,5.963326235009437e-09,45.0,2.0,0.1886941176470588,0.0860358474488171
31,90,0.1437716701889546,0.12539946881220204,0.04241568135018266,0.13010729208426994,probeC,767871931,2.1344232515894643,1.9804996953077394,1.106068040562643,2.08238965737276,0.99,0.00760542853941738,0.0348028374852172,2,3,RS,0.727973199329983,L56,700.0,6.779833400167612,0.0370722433460074,0.7391193614122866,90.0,2.0,0.2015294117647059,0.0714189292046589
