unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
72.0,0.0,0.05692931902923486,[0.20152941],['RS'],0.0,['L56'],[0.01379716],0.0,[6.69278211],0.010761617446144766,[90.],[2.],0.0,[800.],[4],[4],[0.03974221],[0.37001759],767871931.0,0.025606290683022937,[4.81998666],[0.61809045],7,unexplained,0
73.0,0.0,0.07781832041526641,[0.0774549],['RS'],0.0,['L56'],[0.08408998],0.0,[4.25420176],0.03166739859576637,[45.],[2.],0.0,[800.],[4],[4],[0.38162544],[1.3548612e-05],767871931.0,0.027870993660102882,[5.39134276],[0.61809045],4,unexplained,0
74.0,0.0,0.04495622511607631,[0.13735294],['RS'],0.0,['L56'],[0.09906541],0.0,[0.09445602],0.0,[0.],[2.],0.0,[600.],[5],[4],[0.39586777],[1.96201622e-08],767871931.0,0.03124754344557259,[14.25360338],[0.75544389],7,unexplained,0
75.0,0.0,0.040197671447188665,[0.13735294],['RS'],0.03538389706830869,['L56'],[0.04759145],0.0,[4.60239729],0.04108248476484706,[45.],[2.],0.0,[300.],[5],[4],[-0.18642937],[0.19321064],767871931.0,0.03053165970838525,[5.87602909],[0.61809045],4,unexplained,0
76.0,0.0,0.03425143616433812,[0.15018824],['RS'],0.0,['L56'],[0.0633145],0.0,[0.12843804],0.0,[0.],[2.],0.0,[600.],[5],[3],[-0.06752622],[0.62947776],767871931.0,0.027191569241330704,[4.76522666],[0.60435511],7,unexplained,0
77.0,0.0,0.026240330839918925,[0.15446667],['RS'],0.09972290199994786,['L56'],[0.17891633],0.0,[3.83057341],0.015310458147271278,[45.],[2.],0.0,[700.],[4],[5],[0.3325228],[7.38429232e-05],767871931.0,0.10192778331033873,[3.75085819],[0.71423786],5,stimulus1,1
79.0,0.0,0.015258724421106628,[0.20580784],['RS'],0.026285788565855107,['L56'],[0.89207264],0.0,[4.71646557],0.0,[90.],[2.],0.0,[400.],[5],[4],[0.31855956],[1.33611379e-09],767871931.0,0.01710013865858704,[4.00251257],[0.68676717],9,unexplained,0
81.0,0.0,0.006448508337269843,[1.04865882],['RS'],0.1228631959712206,['L56'],[0.08614398],0.0,[2.99958014],0.009575776415840887,[0.],[2.],0.0,[200.],[4],[4],[0.48809524],[4.09952732e-08],767871931.0,0.15120951982754696,[1.29189292],[0.61809045],5,stimulus1,1
84.0,0.0,0.021701443367252347,[0.05606275],['RS'],0.09847221767320502,['L56'],[0.06485103],0.0,[6.89878334],0.03869017399759722,[135.],[2.],0.0,[400.],[5],[3],[0.28895184],[0.0210337],767871931.0,0.09202489413630163,[3.17779084],[0.64556114],4,unexplained,0
85.0,0.0,0.08068897572895053,[0.18869412],['FS'],0.12462219052177688,['L56'],[0.08603585],0.0,[0.94447033],0.1089272880184946,[45.],[2.],0.0,[500.],[4],[5],[0.57700205],[5.96332624e-09],767871931.0,0.07020872386897917,[13.29902799],[0.26097152],9,unexplained,1
90.0,0.0,0.009280200330993882,[0.20152941],['RS'],0.04241568135018266,['L56'],[0.07141893],0.0,[6.7798334],0.006369627652333931,[90.],[2.],0.0,[700.],[2],[3],[0.03707224],[0.73911936],767871931.0,0.02916081514586948,[2.08238966],[0.7279732],9,unexplained,0
91.0,0.0,0.007475594594570168,[0.19297255],['RS'],0.046682850835525834,['L56'],[0.08747423],0.0,[1.05169818],0.006751533458508563,[90.],[2.],0.0,[1000.],[3],[3],[0.29685194],[2.92134046e-11],767871931.0,0.044793596433806405,[1.75413169],[0.7279732],4,unexplained,0
92.0,0.0,0.0263959031622653,[0.60798039],['RS'],0.0,['L56'],[0.20745459],0.0,[3.57619257],0.0,[45.],[2.],0.0,[700.],[5],[5],[0.65751028],[2.27724573e-05],767871931.0,0.03651420698674126,[6.06195135],[0.61809045],7,unexplained,0
93.0,0.0,0.050731896807419276,[0.0902902],['RS'],0.04734263385046382,['L56'],[0.06336516],0.0,[0.82363952],0.0,[45.],[2.],0.0,[1300.],[4],[2],[0.23151408],[0.00108891],767871931.0,0.023409695473640912,[2.81560986],[0.68676717],7,unexplained,0
96.0,0.0,0.01592186030069238,[1.06149412],['RS'],0.0,['L56'],[0.2766886],0.0,[0.61169755],0.0,[0.],[2.],0.0,[500.],[3],[4],[-0.13191244],[0.39008528],767871931.0,0.04492199569580411,[9.75241249],[0.57688442],9,unexplained,0
97.0,0.0,0.02643330183057573,[0.13307451],['RS'],0.018486149769790218,['L56'],[0.07307892],0.0,[0.04670047],0.0,[0.],[2.],0.0,[600.],[3],[5],[-0.65818798],[7.55950803e-07],767871931.0,0.02470881051090821,[6.25220206],[0.75544389],7,unexplained,0
99.0,0.0,0.1293866829796315,[0.23147843],['FS'],0.19947298651609974,['L4'],[0.30735219],0.0,[5.70503846],0.12354073800609297,[135.],[2.],0.0,[200.],[4],[4],[0.2490566],[0.0337857],767871931.0,0.021883692519758212,[6.04967062],[0.24723618],1,multi-source1,2
102.0,0.0,0.036053704673582446,[0.16730196],['RS'],0.036849880515937204,['L4'],[0.13509792],0.0,[3.71193387],0.0,[90.],[2.],0.0,[500.],[4],[4],[-0.58668425],[3.15960027e-09],767871931.0,0.048401599927172856,[1.94136254],[0.65929648],7,unexplained,0
103.0,0.0,0.023049977449529902,[nan],['RS'],0.011816874167851644,['L4'],[0.17797363],0.0,[10.70570292],0.006564864247027002,[135.],[2.],0.0,[600.],[3],[4],[0.46812749],[4.88203744e-06],767871931.0,0.12300175228944572,[1.79771822],[0.53567839],5,stimulus1,1
104.0,0.0,0.11360002594857295,[0.08601176],['FS'],0.0,['L4'],[0.03825597],0.0,[3.96232899],0.06795668861488635,[45.],[2.],0.0,[400.],[4],[4],[0.20469208],[0.0544282],767871931.0,0.019259810805859014,[10.59263613],[0.21976549],6,behavior,1
105.0,0.0,0.01740945248969732,[0.53952549],['RS'],0.04239145357147036,['L4'],[0.63944854],0.3333333333333333,[7.0306053],0.0,[0.],[2.],0.0,[300.],[4],[4],[0.53252481],[7.64089352e-07],767871931.0,0.04117249462670665,[2.04625209],[0.60435511],9,unexplained,0
108.0,0.0,0.026494453671417117,[1.04865882],['RS'],0.09230806712485004,['L4'],[0.16355105],0.0,[5.38619142],0.012411019451780447,[135.],[2.],0.0,[500.],[3],[3],[0.70036101],[4.91176432e-05],767871931.0,0.07435741254580788,[1.88901843],[0.54941374],4,unexplained,0
110.0,0.0,0.010567116329923087,[0.41545098],['RS'],0.038326217887377535,['L4'],[0.06005104],0.3333333333333333,[6.04831714],0.01920294524325903,[0.],[2.],0.0,[100.],[1],[2],[0.54767092],[6.62639211e-17],767871931.0,0.02291323732426087,[1.43674518],[0.59061977],4,unexplained,0
112.0,0.0,0.010283346451068164,[0.81762353],['RS'],0.011303621113501961,['L4'],[0.18793371],0.3333333333333333,[4.79476463],0.00776780504355794,[0.],[2.],0.0,[600.],[3],[4],[0.54101996],[4.06523817e-05],767871931.0,0.05305147873087683,[1.8193605],[0.61809045],4,unexplained,0
114.0,0.0,0.06574911885577725,[0.41972941],['FS'],0.0,['L4'],[0.4005757],0.0,[7.34176763],0.0,[135.],[2.],0.0,[600.],[4],[4],[0.34174047],[0.02917041],767871931.0,0.10270070894368115,[18.26014242],[0.21976549],5,stimulus1,1
115.0,0.0,0.014124851519261772,[0.02183529],['RS'],0.09661050418263548,['L4'],[0.10873916],0.6666666666666666,[5.31166705],0.023565778843837502,[45.],[2.],0.0,[400.],[4],[3],[-0.13352575],[0.35704323],767871931.0,0.08537987443175506,[1.68688963],[0.61809045],4,unexplained,0
116.0,0.0,0.02810515572013834,[0.03039216],['RS'],0.09447812936543394,['L4'],[0.04762513],0.0,[8.44593546],0.017907590307223664,[135.],[2.],0.0,[600.],[3],[4],[-0.18819188],[0.22350546],767871931.0,0.0798154770387975,[1.67289765],[0.53567839],4,unexplained,0
