unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
71.0,0.0,0.020685128135014063,[0.12879608],['RS'],0.2323410067674076,['L56'],[0.12970056],0.0,[0.41269232],0.03332837919171794,[45.],[2.],0.0,[600.],[4],[3],[0.60898084],[8.02648327e-11],767871931.0,0.21606313945542452,[2.83594353],[0.64556114],10,stimulus2,1
72.0,0.0,0.06843908383541737,[0.20152941],['RS'],0.24639963867823428,['L56'],[0.01379716],0.0,[6.69278211],0.06620531878489336,[90.],[2.],0.0,[800.],[4],[4],[0.03974221],[0.37001759],767871931.0,0.17304193007315258,[4.81998666],[0.61809045],11,stimulus1,1
73.0,0.0,0.10598083947747887,[0.0774549],['RS'],0.3190654613558556,['L56'],[0.08408998],0.0,[4.25420176],0.24876333943812798,[45.],[2.],0.0,[800.],[4],[4],[0.38162544],[1.3548612e-05],767871931.0,0.15119180840897062,[5.39134276],[0.61809045],5,multisource1,3
74.0,0.0,0.04728445957103988,[0.13735294],['RS'],0.08850125454359839,['L56'],[0.09906541],0.0,[0.09445602],0.09129672447082778,[0.],[2.],0.0,[600.],[5],[4],[0.39586777],[1.96201622e-08],767871931.0,0.11396746896161183,[14.25360338],[0.75544389],11,stimulus1,1
75.0,0.0,0.06724823646645697,[0.13735294],['RS'],0.29236504844966255,['L56'],[0.04759145],0.0,[4.60239729],0.0682646540955292,[45.],[2.],0.0,[300.],[5],[4],[-0.18642937],[0.19321064],767871931.0,0.2263341089793743,[5.87602909],[0.61809045],10,stimulus2,1
76.0,0.0,0.01744209968685497,[0.15018824],['RS'],0.21672071422291345,['L56'],[0.0633145],0.0,[0.12843804],0.05256685333317035,[0.],[2.],0.0,[600.],[5],[3],[-0.06752622],[0.62947776],767871931.0,0.20041694244892252,[4.76522666],[0.60435511],11,stimulus1,1
77.0,0.0,0.014825876675665529,[0.15446667],['RS'],0.25324623818150166,['L56'],[0.17891633],0.0,[3.83057341],0.02236148320474709,[45.],[2.],0.0,[700.],[4],[5],[0.3325228],[7.38429232e-05],767871931.0,0.2607268365100986,[3.75085819],[0.71423786],10,stimulus2,1
79.0,0.0,0.053955217843362636,[0.20580784],['RS'],0.17525075659803552,['L56'],[0.89207264],0.0,[4.71646557],0.08361503675599484,[90.],[2.],0.0,[400.],[5],[4],[0.31855956],[1.33611379e-09],767871931.0,0.12384180615249067,[4.00251257],[0.68676717],11,stimulus1,1
81.0,0.0065961014004321415,0.016821051549218802,[1.04865882],['RS'],0.3000656235478015,['L56'],[0.08614398],0.0,[2.99958014],0.03858319829139913,[0.],[2.],0.0,[200.],[4],[4],[0.48809524],[4.09952732e-08],767871931.0,0.30862972010804396,[1.29189292],[0.61809045],4,stimulus2,1
84.0,0.0,0.029014607023579386,[0.05606275],['RS'],0.44636732190791023,['L56'],[0.06485103],0.0,[6.89878334],0.14143517071631723,[135.],[2.],0.0,[400.],[5],[3],[0.28895184],[0.0210337],767871931.0,0.44344432938723666,[3.17779084],[0.64556114],8,stimulus+population,2
85.0,0.0,0.0674516670042338,[0.18869412],['FS'],0.17579161308795818,['L56'],[0.08603585],0.0,[0.94447033],0.1642990266892877,[45.],[2.],0.0,[500.],[4],[5],[0.57700205],[5.96332624e-09],767871931.0,0.08295701949814398,[13.29902799],[0.26097152],6,behavior,1
90.0,0.0,0.012858581381859868,[0.20152941],['RS'],0.1437716701889546,['L56'],[0.07141893],0.0,[6.7798334],0.029817389149430617,[90.],[2.],0.0,[700.],[2],[3],[0.03707224],[0.73911936],767871931.0,0.14415312058001672,[2.08238966],[0.7279732],9,stimulus1,1
91.0,0.0,0.019553617007802317,[0.19297255],['RS'],0.1685307627061492,['L56'],[0.08747423],0.0,[1.05169818],0.09273559589454339,[90.],[2.],0.0,[1000.],[3],[3],[0.29685194],[2.92134046e-11],767871931.0,0.12680394297190295,[1.75413169],[0.7279732],11,stimulus1,1
